"AOU","alpha","common","group"
4370,"LUHU","LUCIFER HUMMINGBIRD","SwiftHumm.csv"
4390,"BUFH","BUFF-BELLIED HUMMINGBIRD","SwiftHumm.csv"
4391,"VCHU","VIOLET-CROWNED HUMMINGBIRD","SwiftHumm.csv"
4402,"PREM","PUERTO RICAN EMERALD","SwiftHumm.csv"
4410,"BBLH","BROAD-BILLED HUMMINGBIRD","SwiftHumm.csv"
4430,"STFL","SCISSOR-TAILED FLYCATCHER","NWFlycatc.csv"
4440,"EAKI","EASTERN KINGBIRD","NWFlycatc.csv"
4450,"GRAK","GRAY KINGBIRD","NWFlycatc.csv"
4451,"TBKI","THICK-BILLED KINGBIRD","NWFlycatc.csv"
4460,"TRKI","TROPICAL KINGBIRD","NWFlycatc.csv"
4461,"COKI","COUCH'S KINGBIRD","NWFlycatc.csv"
4470,"WEKI","WESTERN KINGBIRD","NWFlycatc.csv"
4480,"CAKI","CASSIN'S KINGBIRD","NWFlycatc.csv"
4490,"GKIS","GREAT KISKADEE","NWFlycatc.csv"
4510,"SBFL","SULPHUR-BELLIED FLYCATCHER","NWFlycatc.csv"
4520,"GCFL","GREAT-CRESTED FLYCATCHER","NWFlycatc.csv"
4530,"BCFL","BROWN-CRESTED FLYCATCHER","NWFlycatc.csv"
4540,"ATFL","ASH-THROATED FLYCATCHER","NWFlycatc.csv"
4550,"DCFL","DUSKY-CAPPED FLYCATCHER","NWFlycatc.csv"
4560,"EAPH","EASTERN PHOEBE","NWFlycatc.csv"
4570,"SAPH","SAY'S PHOEBE","NWFlycatc.csv"
4580,"BLPH","BLACK PHOEBE","NWFlycatc.csv"
4590,"OSFL","OLIVE-SIDED FLYCATCHER","NWFlycatc.csv"
4600,"GRPE","GREATER PEWEE","NWFlycatc.csv"
4610,"EAWP","EASTERN WOOD-PEWEE","NWFlycatc.csv"
4620,"WEWP","WESTERN WOOD-PEWEE","NWFlycatc.csv"
4630,"YBFL","YELLOW-BELLIED FLYCATCHER","NWFlycatc.csv"
4640,"COFL","CORDILLERAN FLYCATCHER","NWFlycatc.csv"
4641,"PSFL","PACIFIC SLOPE FLYCATCHER","NWFlycatc.csv"
4650,"ACFL","ACADIAN FLYCATCHER","NWFlycatc.csv"
4660,"WIFL","WILLOW FLYCATCHER","NWFlycatc.csv"
4661,"ALFL","ALDER FLYCATCHER","NWFlycatc.csv"
4670,"LEFL","LEAST FLYCATCHER","NWFlycatc.csv"
4679,"UNEM","UNIDENTIFIED EMPIDONAX","NWFlycatc.csv"
4680,"HAFL","HAMMOND'S FLYCATCHER","NWFlycatc.csv"
4690,"DUFL","DUSKY FLYCATCHER","NWFlycatc.csv"
4691,"GRFL","GRAY FLYCATCHER","NWFlycatc.csv"
4700,"BBFL","BUFF-BREASTED FLYCATCHER","NWFlycatc.csv"
4710,"VEFL","VERMILION FLYCATCHER","NWFlycatc.csv"
4720,"NBTY","NORTHERN BEARDLESS TYRANNULET","NWFlycatc.csv"
4730,"SKLA","SKY LARK","LarkWren.csv"
4740,"HOLA","HORNED LARK","LarkWren.csv"
4750,"BBMA","BLACK-BILLED MAGPIE","ShrikeCorv.csv"
4760,"YBMA","YELLOW-BILLED MAGPIE","ShrikeCorv.csv"
4770,"BLJA","BLUE JAY","ShrikeCorv.csv"
4780,"STJA","STELLER'S JAY","ShrikeCorv.csv"
4790,"FLSJ","FLORIDA SCRUB-JAY","ShrikeCorv.csv"
4810,"WESJ","WESTERN SCRUB JAY","ShrikeCorv.csv"
4811,"ISSJ","ISLAND SCRUB-JAY","ShrikeCorv.csv"
4820,"MEJA","MEXICAN JAY","ShrikeCorv.csv"
4830,"GREJ","GREEN JAY","ShrikeCorv.csv"
4840,"GRAJ","GRAY JAY","ShrikeCorv.csv"
4860,"CORA","COMMON RAVEN","ShrikeCorv.csv"
4870,"CHRA","CHIHUAHUAN RAVEN","ShrikeCorv.csv"
4880,"AMCR","AMERICAN CROW","ShrikeCorv.csv"
4890,"NOCR","NORTHWESTERN CROW","ShrikeCorv.csv"
4900,"FICR","FISH CROW","ShrikeCorv.csv"
4910,"CLNU","CLARK'S NUTCRACKER","ShrikeCorv.csv"
4920,"PIJA","PINYON JAY","ShrikeCorv.csv"
4930,"EUST","EUROPEAN STARLING","GnatLongs.csv"
4931,"CRMY","CRESTED MYNA","GnatLongs.csv"
4932,"COMY","COMMON MYNA","GnatLongs.csv"
4940,"BOBO","BOBOLINK","CardBlack.csv"
4950,"BHCO","BROWN-HEADED COWBIRD","CardBlack.csv"
4960,"BROC","BRONZED COWBIRD","CardBlack.csv"
4961,"SHCO","SHINY COWBIRD","CardBlack.csv"
4970,"YHBL","YELLOW-HEADED BLACKBIRD","CardBlack.csv"
4980,"RWBL","RED-WINGED BLACKBIRD","CardBlack.csv"
5000,"TRBL","TRICOLORED BLACKBIRD","CardBlack.csv"
5010,"EAME","EASTERN MEADOWLARK","CardBlack.csv"
5011,"WEME","WESTERN MEADOWLARK","CardBlack.csv"
5030,"AUOR","AUDUBON'S ORIOLE","CardBlack.csv"
5031,"ALOR","ALTAMIRA ORIOLE","CardBlack.csv"
5032,"SPOO","SPOTTED-BREASTED ORIOLE","CardBlack.csv"
5040,"SCOR","SCOTT'S ORIOLE","CardBlack.csv"
5050,"HOOR","HOODED ORIOLE","CardBlack.csv"
5060,"OROR","ORCHARD ORIOLE","CardBlack.csv"
5070,"BAOR","BALTIMORE ORIOLE","CardBlack.csv"
5080,"BUOR","BULLOCK'S ORIOLE","CardBlack.csv"
5090,"RUBL","RUSTY BLACKBIRD","CardBlack.csv"
5100,"BRBL","BREWER'S BLACKBIRD","CardBlack.csv"
5110,"COGR","COMMON GRACKLE","CardBlack.csv"
5120,"GTGR","GREAT-TAILED GRACKLE","CardBlack.csv"
5130,"BTGR","BOAT-TAILED GRACKLE","CardBlack.csv"
5140,"EVGR","EVENING GROSBEAK","Finches.csv"
5150,"PIGR","PINE GROSBEAK","Finches.csv"
5170,"PUFI","PURPLE FINCH","Finches.csv"
5180,"CAFI","CASSIN'S FINCH","Finches.csv"
5190,"HOFI","HOUSE FINCH","Finches.csv"
5210,"RECR","RED CROSSBILL","Finches.csv"
5220,"WWCR","WHITE-WINGED CROSSBILL","Finches.csv"
5240,"GCRF","GRAY-CROWNED ROSY FINCH","Finches.csv"
5250,"BLRF","BLACK ROSY-FINCH","Finches.csv"
5260,"BCRF","BROWN-CAPPED ROSY FINCH","Finches.csv"
5270,"HORE","HOARY REDPOLL","Finches.csv"
5280,"CORE","COMMON REDPOLL","Finches.csv"
5290,"AMGO","AMERICAN GOLDFINCH","Finches.csv"
5300,"LEGO","LESSER GOLDFINCH","Finches.csv"
5310,"LAGO","LAWRENCE'S GOLDFINCH","Finches.csv"
5330,"PISI","PINE SISKIN","Finches.csv"
5340,"SNBU","SNOW BUNTING","GnatLongs.csv"
5360,"LALO","LAPLAND LONGSPUR","GnatLongs.csv"
5370,"SMLO","SMITH'S LONGSPUR","GnatLongs.csv"
5380,"CCLO","CHESTNUT-COLLARED LONGSPUR","GnatLongs.csv"
5390,"MCLO","MC COWN'S LONGSPUR","GnatLongs.csv"
5400,"VESP","VESPER SPARROW","NWSparrow.csv"
5420,"SAVS","SAVANNAH SPARROW","NWSparrow.csv"
5450,"BAIS","BAIRD'S SPARROW","NWSparrow.csv"
5460,"GRSP","GRASSHOPPER SPARROW","NWSparrow.csv"
5470,"HESP","HENSLOW'S SPARROW","NWSparrow.csv"
5480,"LCSP","LE CONTE'S SPARROW","NWSparrow.csv"
5490,"SALS","SALTMARSH SPARROW","NWSparrow.csv"
5491,"NESP","NELSON'S SPARROW","NWSparrow.csv"
5500,"SESP","SEASIDE SPARROW","NWSparrow.csv"
5520,"LASP","LARK SPARROW","NWSparrow.csv"
5530,"HASP","HARRIS'S SPARROW","NWSparrow.csv"
5540,"WCSP","WHITE-CROWNED SPARROW","NWSparrow.csv"
5570,"GCSP","GOLDEN-CROWNED SPARROW","NWSparrow.csv"
5580,"WTSP","WHITE-THROATED SPARROW","NWSparrow.csv"
5590,"ATSP","AMERICAN TREE SPARROW","NWSparrow.csv"
5600,"CHSP","CHIPPING SPARROW","NWSparrow.csv"
5610,"CCSP","CLAY-COLORED SPARROW","NWSparrow.csv"
5620,"BRSP","BREWER'S SPARROW","NWSparrow.csv"
5630,"FISP","FIELD SPARROW","NWSparrow.csv"
5650,"BCSP","BLACK-CHINNED SPARROW","NWSparrow.csv"
5660,"WWJU","WHITE-WINGED JUNCO","NWSparrow.csv"
5670,"SCJU","SLATE-COLORED JUNCO","NWSparrow.csv"
5671,"ORJU","OREGON JUNCO","NWSparrow.csv"
5677,"UDEJ","UNIDENTIFIED DARK-EYED JUNCO","NWSparrow.csv"
5690,"GHJU","GRAY-HEADED JUNCO","NWSparrow.csv"
5700,"YEJU","YELLOW-EYED JUNCO","NWSparrow.csv"
5730,"BTSP","BLACK-THROATED SPARROW","NWSparrow.csv"
5740,"SAGS","SAGE SPARROW","NWSparrow.csv"
5750,"BACS","BACHMAN'S SPARROW","NWSparrow.csv"
5760,"BOSP","BOTTERI'S SPARROW","NWSparrow.csv"
5780,"CASP","CASSIN'S SPARROW","NWSparrow.csv"
5790,"RWSP","RUFOUS-WINGED SPARROW","NWSparrow.csv"
5800,"RCSP","RUFOUS-CROWNED SPARROW","NWSparrow.csv"
5810,"SOSP","SONG SPARROW","NWSparrow.csv"
5830,"LISP","LINCOLN'S SPARROW","NWSparrow.csv"
5840,"SWSP","SWAMP SPARROW","NWSparrow.csv"
5850,"FOSP","FOX SPARROW","NWSparrow.csv"
5860,"OLSP","OLIVE SPARROW","NWSparrow.csv"
5870,"EATO","EASTERN TOWHEE","NWSparrow.csv"
5880,"SPTO","SPOTTED TOWHEE","NWSparrow.csv"
5900,"GTTO","GREEN-TAILED TOWHEE","NWSparrow.csv"
5910,"CANT","CANYON TOWHEE","NWSparrow.csv"
5911,"CALT","CALIFORNIA TOWHEE","NWSparrow.csv"
5920,"ABTO","ABERT'S TOWHEE","NWSparrow.csv"
5930,"NOCA","NORTHERN CARDINAL","CardBlack.csv"
5940,"PYRR","PYRRHULOXIA","CardBlack.csv"
5950,"RBGR","ROSE-BREASTED GROSBEAK","CardBlack.csv"
5960,"BHGR","BLACK-HEADED GROSBEAK","CardBlack.csv"
5970,"BLGR","BLUE GROSBEAK","CardBlack.csv"
5980,"INBU","INDIGO BUNTING","CardBlack.csv"
5986,"ILBH","INDIGO X LAZULI BUNTING HYBRID","CardBlack.csv"
5990,"LAZB","LAZULI BUNTING","CardBlack.csv"
6000,"VABU","VARIED BUNTING","CardBlack.csv"
6010,"PABU","PAINTED BUNTING","CardBlack.csv"
6040,"DICK","DICKCISSEL","CardBlack.csv"
6050,"LARB","LARK BUNTING","NWSparrow.csv"
6070,"WETA","WESTERN TANAGER","CardBlack.csv"
6080,"SCTA","SCARLET TANAGER","CardBlack.csv"
6090,"HETA","HEPATIC TANAGER","CardBlack.csv"
6100,"SUTA","SUMMER TANAGER","CardBlack.csv"
6110,"PUMA","PURPLE MARTIN","LarkWren.csv"
6120,"CLSW","CLIFF SWALLOW","LarkWren.csv"
6121,"CASW","CAVE SWALLOW","LarkWren.csv"
6130,"BARS","BARN SWALLOW","LarkWren.csv"
6140,"TRES","TREE SWALLOW","LarkWren.csv"
6150,"VGSW","VIOLET-GREEN SWALLOW","LarkWren.csv"
6160,"BANS","BANK SWALLOW","LarkWren.csv"
6170,"NRWS","NORTHERN ROUGH-WINGED SWALLOW","LarkWren.csv"
6180,"BOWA","BOHEMIAN WAXWING","GnatLongs.csv"
6190,"CEDW","CEDAR WAXWING","GnatLongs.csv"
6200,"PHAI","PHAINOPEPLA","GnatLongs.csv"
6210,"NSHR","NORTHERN SHRIKE","ShrikeCorv.csv"
6220,"LOSH","LOGGERHEAD SHRIKE","ShrikeCorv.csv"
6230,"BWVI","BLACK-WHISKERED VIREO","ShrikeCorv.csv"
6240,"REVI","RED-EYED VIREO","ShrikeCorv.csv"
6260,"PHVI","PHILADELPHIA VIREO","ShrikeCorv.csv"
6270,"WAVI","WARBLING VIREO","ShrikeCorv.csv"
6280,"YTVI","YELLOW-THROATED VIREO","ShrikeCorv.csv"
6290,"BHVI","BLUE-HEADED VIREO","ShrikeCorv.csv"
6291,"PLVI","PLUMBEOUS VIREO","ShrikeCorv.csv"
6292,"CAVI","CASSIN'S VIREO","ShrikeCorv.csv"
6300,"BCVI","BLACK-CAPPED VIREO","ShrikeCorv.csv"
6310,"WEVI","WHITE-EYED VIREO","ShrikeCorv.csv"
6320,"HUVI","HUTTON'S VIREO","ShrikeCorv.csv"
6330,"BEVI","BELL'S VIREO","ShrikeCorv.csv"
6340,"GRVI","GRAY VIREO","ShrikeCorv.csv"
6360,"BAWW","BLACK-AND-WHITE WARBLER","NWWarbler.csv"
6370,"PROW","PROTHONOTARY WARBLER","NWWarbler.csv"
6380,"SWWA","SWAINSON'S WARBLER","NWWarbler.csv"
6390,"WEWA","WORM-EATING WARBLER","NWWarbler.csv"
6410,"BWWA","BLUE-WINGED WARBLER","NWWarbler.csv"
6412,"BRWA","BREWSTER'S WARBLER","NWWarbler.csv"
6413,"LAWA","LAWRENCE'S WARBLER","NWWarbler.csv"
6420,"GWWA","GOLDEN-WINGED WARBLER","NWWarbler.csv"
6430,"LUWA","LUCY'S WARBLER","NWWarbler.csv"
6440,"VIWA","VIRGINIA'S WARBLER","NWWarbler.csv"
6450,"NAWA","NASHVILLE WARBLER","NWWarbler.csv"
6460,"OCWA","ORANGE-CROWNED WARBLER","NWWarbler.csv"
6470,"TEWA","TENNESSEE WARBLER","NWWarbler.csv"
6480,"NOPA","NORTHERN PARULA","NWWarbler.csv"
6490,"TRPA","TROPICAL PARULA","NWWarbler.csv"
6500,"CMWA","CAPE MAY WARBLER","NWWarbler.csv"
6510,"OLWA","OLIVE WARBLER","GnatLongs.csv"
6520,"YEWA","YELLOW WARBLER","NWWarbler.csv"
6540,"BTBW","BLACK-THROATED BLUE WARBLER","NWWarbler.csv"
6550,"MYWA","MYRTLE WARBLER","NWWarbler.csv"
6556,"UYRW","UNKNOWN YELLOW-RUMPED WARBLER","NWWarbler.csv"
6560,"AUWA","AUDUBON'S WARBLER","NWWarbler.csv"
6570,"MAWA","MAGNOLIA WARBLER","NWWarbler.csv"
6580,"CERW","CERULEAN WARBLER","NWWarbler.csv"
6590,"CSWA","CHESTNUT-SIDED WARBLER","NWWarbler.csv"
6600,"BBWA","BAY-BREASTED WARBLER","NWWarbler.csv"
6610,"BLPW","BLACKPOLL WARBLER","NWWarbler.csv"
6620,"BLBW","BLACKBURNIAN WARBLER","NWWarbler.csv"
6630,"YTWA","YELLOW-THROATED WARBLER","NWWarbler.csv"
6640,"GRWA","GRACE'S WARBLER","NWWarbler.csv"
6650,"BTYW","BLACK-THROATED GRAY WARBLER","NWWarbler.csv"
6660,"GCWA","GOLDEN-CHEEKED WARBLER","NWWarbler.csv"
6670,"BTNW","BLACK-THROATED GREEN WARBLER","NWWarbler.csv"
6680,"TOWA","TOWNSEND'S WARBLER","NWWarbler.csv"
6690,"HEWA","HERMIT WARBLER","NWWarbler.csv"
6700,"KIWA","KIRTLAND'S WARBLER","NWWarbler.csv"
6710,"PIWA","PINE WARBLER","NWWarbler.csv"
6720,"WPWA","WESTERN PALM WARBLER","NWWarbler.csv"
6730,"PRAW","PRAIRIE WARBLER","NWWarbler.csv"
6740,"OVEN","OVENBIRD","NWWarbler.csv"
6750,"NOWA","NORTHERN WATERTHRUSH","NWWarbler.csv"
6760,"LOWA","LOUISIANA WATERTHRUSH","NWWarbler.csv"
6770,"KEWA","KENTUCKY WARBLER","NWWarbler.csv"
6780,"CONW","CONNECTICUT WARBLER","NWWarbler.csv"
6790,"MOWA","MOURNING WARBLER","NWWarbler.csv"
6800,"MGWA","MACGILLIVRAY'S WARBLER","NWWarbler.csv"
6810,"COYE","COMMON YELLOWTHROAT","NWWarbler.csv"
6830,"YBCH","YELLOW-BREASTED CHAT","NWWarbler.csv"
6840,"HOWA","HOODED WARBLER","NWWarbler.csv"
6850,"WIWA","WILSON'S WARBLER","NWWarbler.csv"
6860,"CAWA","CANADA WARBLER","NWWarbler.csv"
6870,"AMRE","AMERICAN REDSTART","NWWarbler.csv"
6880,"PARE","PAINTED REDSTART","NWWarbler.csv"
6882,"HOSP","HOUSE SPARROW","Finches.csv"
6883,"ETSP","EUROPEAN TREE SPARROW","Finches.csv"
6900,"RFWA","RED-FACED WARBLER","NWWarbler.csv"
6940,"WHWA","WHITE WAGTAIL","GnatLongs.csv"
6960,"EYWA","EASTERN YELLOW WAGTAIL","GnatLongs.csv"
6970,"AMPI","AMERICAN PIPIT","GnatLongs.csv"
6990,"RTPI","RED-THROATED PIPIT","GnatLongs.csv"
7000,"SPPI","SPRAGUE'S PIPIT","GnatLongs.csv"
7010,"AMDI","AMERICAN DIPPER","GnatLongs.csv"
7020,"SATH","SAGE THRASHER","GnatLongs.csv"
7030,"NOMO","NORTHERN MOCKINGBIRD","GnatLongs.csv"
7031,"BAMO","BAHAMA MOCKINGBIRD","GnatLongs.csv"
7040,"GRCA","GRAY CATBIRD","GnatLongs.csv"
7050,"BRTH","BROWN THRASHER","GnatLongs.csv"
7060,"LBTH","LONG-BILLED THRASHER","GnatLongs.csv"
7070,"CBTH","CURVE-BILLED THRASHER","GnatLongs.csv"
7080,"BETH","BENDIRE'S THRASHER","GnatLongs.csv"
7100,"CATH","CALIFORNIA THRASHER","GnatLongs.csv"
7110,"LCTH","LE CONTE'S THRASHER","GnatLongs.csv"
7120,"CRTH","CRISSAL THRASHER","GnatLongs.csv"
7130,"CACW","CACTUS WREN","LarkWren.csv"
7150,"ROWR","ROCK WREN","LarkWren.csv"
7170,"CANW","CANYON WREN","LarkWren.csv"
7180,"CARW","CAROLINA WREN","LarkWren.csv"
7190,"BEWR","BEWICK'S WREN","LarkWren.csv"
7210,"HOWR","HOUSE WREN","LarkWren.csv"
7220,"WIWR","WINTER WREN","LarkWren.csv"
7221,"PAWR","PACIFIC WREN","LarkWren.csv"
7240,"SEWR","SEDGE WREN","LarkWren.csv"
7250,"MAWR","MARSH WREN","LarkWren.csv"
7260,"BRCR","BROWN CREEPER","LarkWren.csv"
7270,"WBNU","WHITE-BREASTED NUTHATCH","LarkWren.csv"
7280,"RBNU","RED-BREASTED NUTHATCH","LarkWren.csv"
7290,"BHNU","BROWN-HEADED NUTHATCH","LarkWren.csv"
7300,"PYNU","PYGMY NUTHATCH","LarkWren.csv"
7310,"TUTI","TUFTED TITMOUSE","LarkWren.csv"
7320,"BCTI","BLACK-CRESTED TITMOUSE","LarkWren.csv"
7330,"OATI","OAK TITMOUSE","LarkWren.csv"
7331,"JUTI","JUNIPER TITMOUSE","LarkWren.csv"
7340,"BRTI","BRIDLED TITMOUSE","LarkWren.csv"
7350,"BCCH","BLACK-CAPPED CHICKADEE","LarkWren.csv"
7360,"CACH","CAROLINA CHICKADEE","LarkWren.csv"
7370,"MECH","MEXICAN CHICKADEE","LarkWren.csv"
7380,"MOCH","MOUNTAIN CHICKADEE","LarkWren.csv"
7400,"BOCH","BOREAL CHICKADEE","LarkWren.csv"
7410,"CBCH","CHESTNUT-BACKED CHICKADEE","LarkWren.csv"
7420,"WREN","WRENTIT","GnatLongs.csv"
7430,"BUSH","BUSHTIT","LarkWren.csv"
7460,"VERD","VERDIN","LarkWren.csv"
7470,"ARWA","ARCTIC WARBLER","GnatLongs.csv"
7480,"GCKI","GOLDEN-CROWNED KINGLET","GnatLongs.csv"
7490,"RCKI","RUBY-CROWNED KINGLET","GnatLongs.csv"
7510,"BGGN","BLUE-GRAY GNATCATCHER","GnatLongs.csv"
7520,"BTGN","BLACK-TAILED GNATCATCHER","GnatLongs.csv"
7530,"CAGN","CALIFORNIA GNATCATCHER","GnatLongs.csv"
7540,"TOSO","TOWNSEND'S SOLITAIRE","GnatLongs.csv"
7550,"WOTH","WOOD THRUSH","GnatLongs.csv"
7560,"VEER","VEERY","GnatLongs.csv"
7570,"GCTH","GRAY-CHEEKED THRUSH","GnatLongs.csv"
7571,"BITH","BICKNELL'S THRUSH","GnatLongs.csv"
7580,"SWTH","SWAINSON'S THRUSH","GnatLongs.csv"
7590,"HETH","HERMIT THRUSH","GnatLongs.csv"
7610,"AMRO","AMERICAN ROBIN","GnatLongs.csv"
7630,"VATH","VARIED THRUSH","GnatLongs.csv"
7640,"BLUE","BLUETHROAT","GnatLongs.csv"
7650,"NOWH","NORTHERN WHEATEAR","GnatLongs.csv"
7660,"EABL","EASTERN BLUEBIRD","GnatLongs.csv"
7670,"WEBL","WESTERN BLUEBIRD","GnatLongs.csv"
7680,"MOBL","MOUNTAIN BLUEBIRD","GnatLongs.csv"
300,"RUGR","RUFFED GROUSE","GullAlcid.csv"
